Specimen ID,Reference id,Component Type,Damage State Intensity,Damage State Unit,Damage State Rank
1,KAT-2006-SEI,Drywall Partitions,0.015,Drift,
1,KAT-2006-SEI,Drywall Partitions,0.02,Drift,
1,KAT-2006-SEI,Drywall Partitions,0.04,Drift,
1,KAT-2006-SEI,Drywall Partitions,0.1,Drift,
2,KAT-2006-SEI,Drywall Partitions,0.005,Drift,
2,KAT-2006-SEI,Drywall Partitions,0.01,Drift,
2,KAT-2006-SEI,Drywall Partitions,0.01,Drift,
2,KAT-2006-SEI,Drywall Partitions,0.04,Drift,
2,KAT-2006-SEI,Doors,0.02,Drift,
3,KAT-2006-SEI,Drywall Partitions,0.04,Drift,
3,KAT-2006-SEI,Drywall Partitions,0.08,Drift,
3,KAT-2006-SEI,Drywall Partitions,0.01,Drift,
3,KAT-2006-SEI,Drywall Partitions,0.015,Drift,
4,KAT-2006-SEI,Drywall Partitions,0.01,Drift,
4,KAT-2006-SEI,Drywall Partitions,0.02,Drift,
4,KAT-2006-SEI,Drywall Partitions,0.04,Drift,
4,KAT-2006-SEI,Drywall Partitions,0.1,Drift,
50,WAN-2017-SHA,Elevators,0.025,Drift,1
50,WAN-2017-SHA,Elevators,0.035,Drift,2
48,PAN-2016-FUL,Stairs,0.011,Drift,1
48,PAN-2016-FUL,Stairs,0.014,Drift,3
48,PAN-2016-FUL,Stairs,0.007,Drift,3
48,PAN-2016-FUL,Stairs,0.0266,Drift,2
48,PAN-2016-FUL,Stairs,0.0273,Drift,2
48,PAN-2016-FUL,Stairs,0.0209,Drift,3
48,PAN-2016-FUL,Stairs,0.0108,Drift,3
48,PAN-2016-FUL,Stairs,0.0053,Drift,1
48,PAN-2016-FUL,Stairs,0.0129,Drift,3
48,PAN-2016-FUL,Stairs,0.0358,Drift,3
48,PAN-2016-FUL,Cladding,0.0047,Drift,1
48,PAN-2016-FUL,Cladding,0.0056,Drift,1
48,PAN-2016-FUL,Cladding,0.0096,Drift,1
48,PAN-2016-FUL,Cladding,0.0143,Drift,1
48,PAN-2016-FUL,Cladding,0.0276,Drift,2
48,PAN-2016-FUL,Cladding,0.0601,Drift,2
48,PAN-2016-FUL,Cladding,0.0025,Drift,2
48,PAN-2016-FUL,Cladding,0.0027,Drift,2
48,PAN-2016-FUL,Cladding,0.0043,Drift,2
48,PAN-2016-FUL,Cladding,0.0074,Drift,2
48,PAN-2016-FUL,Cladding,0.011,Drift,2
48,PAN-2016-FUL,Cladding,0.0129,Drift,2
48,PAN-2016-FUL,Cladding,0.011,Drift,2
48,PAN-2016-FUL,Cladding,0.0129,Drift,2
48,PAN-2016-FUL,Cladding,0.0043,Drift,1
48,PAN-2016-FUL,Cladding,0.0074,Drift,1
48,PAN-2016-FUL,Cladding,0.011,Drift,1
48,PAN-2016-FUL,Cladding,0.0129,Drift,1
48,PAN-2016-FUL,Cladding,0.011,Drift,1
48,PAN-2016-FUL,Cladding,0.0129,Drift,2
48,PAN-2016-FUL,Ceilings,0.0024,Drift,1
48,PAN-2016-FUL,Ceilings,0.0028,Drift,2
48,PAN-2016-FUL,Ceilings,0.0068,Drift,3
48,PAN-2016-FUL,Ceilings,0.0057,Drift,3
48,PAN-2016-FUL,Ceilings,0.0031,Drift,1
48,PAN-2016-FUL,Ceilings,0.0035,Drift,1
48,PAN-2016-FUL,Ceilings,0.0037,Drift,1
48,PAN-2016-FUL,Ceilings,0.0071,Drift,1
48,PAN-2016-FUL,Ceilings,0.0074,Drift,1
48,PAN-2016-FUL,Ceilings,0.0031,Drift,1
48,PAN-2016-FUL,Ceilings,0.0032,Drift,1
48,PAN-2016-FUL,Ceilings,0.0044,Drift,1
48,PAN-2016-FUL,Ceilings,0.005,Drift,1
48,PAN-2016-FUL,Ceilings,0.0066,Drift,1
48,PAN-2016-FUL,Ceilings,0.007,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.003,Drift,1
48,PAN-2016-FUL,Drywall Partitions,0.0076,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0264,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0546,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0032,Drift,1
48,PAN-2016-FUL,Drywall Partitions,0.0094,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0277,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.06,Drift,3
48,PAN-2016-FUL,Drywall Partitions,0.0019,Drift,1
48,PAN-2016-FUL,Drywall Partitions,0.0067,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0208,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0356,Drift,3
48,PAN-2016-FUL,Drywall Partitions,0.0016,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0044,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0109,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0129,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0008,Drift,1
48,PAN-2016-FUL,Drywall Partitions,0.0022,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0055,Drift,2
48,PAN-2016-FUL,Drywall Partitions,0.0067,Drift,2
48,PAN-2016-FUL,Doors,0.0116,Drift,1
48,PAN-2016-FUL,Doors,0.0266,Drift,2
48,PAN-2016-FUL,Doors,0.0548,Drift,3
48,PAN-2016-FUL,Doors,0.0116,Drift,1
48,PAN-2016-FUL,Doors,0.0266,Drift,1
48,PAN-2016-FUL,Doors,0.0548,Drift,2
48,PAN-2016-FUL,Doors,0.0116,Drift,1
48,PAN-2016-FUL,Doors,0.0266,Drift,1
48,PAN-2016-FUL,Doors,0.0548,Drift,1
48,PAN-2016-FUL,Doors,0.0116,Drift,1
48,PAN-2016-FUL,Doors,0.0266,Drift,3
48,PAN-2016-FUL,Doors,0.0548,Drift,3
14,RAH-2014-SYS,Drywall Partitions,0.0215,Drift,
14,RAH-2014-SYS,Drywall Partitions,0.0215,Drift,
14,RAH-2014-SYS,Ceilings,0.0234,Drift,
14,RAH-2014-SYS,Ceilings,0.0258,Drift,
14,RAH-2014-SYS,Ceilings,0.0209,Drift,
14,RAH-2014-SYS,Ceilings,0.0162,Drift,
14,RAH-2014-SYS,Fire Sprinklers,0.0215,Drift,
14,RAH-2014-SYS,Fire Sprinklers,0.0162,Drift,
14,RAH-2014-SYS,Fire Sprinklers,0.0103,Drift,
40,RES-2011-PER,Drywall Partitions,0.005,Drift,1
40,RES-2011-PER,Drywall Partitions,0.003,Drift,1
40,RES-2011-PER,Drywall Partitions,0.01,Drift,1
